Feline,Canine,Avian,Equine,Alpaca,Cow,Ferret,Goat,Guinea Pig,Lizard,Llama,Other,Porcine,Primate,Rabbit,Reptile,Rodent,Sheep,Small Mammal,Snake,Unknown
Abyssinian,Affenpinshcer,African Grey,Akhal-Teke,Alpaca,Cow,Blackfooted,Dairy,Guinea Pig,Chameleon,Unknown Llama,Addax,Unknown Porcine,Chimpanzee,American Sable,Bearded Dragon,Chinchilla,Unknown Sheep,Exotic Felid,Ball Python,Breed Unknown
American Bobtail,Afghan Hound,Amazon,Am. Bashkir Curly,Unknown Alpaca,Unknown Cow,Bluefooted,Not listed,Uknown Guinea Pig,Iguana,,Fish,Vietnamese Pot-Bellied Pig,Debrazza Monkey,Angora Rabbit,Blue tongue Skink,Hamster,,Gerbil,Boa Constrictor,
American curl,Airedale,Budgerigar,Am. Cream Draft,,,Domestic,Nubian,,Lizard,,Hedgehog,,Lhoest Monkey,Californian,Crested Gecko,Mouse,,New world Primate,Burmese Python,
American Long Hair,Airedale Terrier,Caique,Am. Miniature,,,Uknown Ferret,Pygmy,,Unknown Lizard,,Llama,,Macaque,Dutch,Demeril Boa,Rat,,Old world Primate,Corn Snake,
American Shorthair,Akbash,Canary,Am. Mustang,,,,Uknown Goat,,,,Opossum,,Orangatan,Dwarf,Freshwater Turtle,Unknown Rodent,,Prairie Dog,Garter Snake,
American Wirehair,Akita,Chicken,Am. Quarter,,,,,,,,Pig,,Primate Other,Dwarf Hotot,Greek Tortoise,,,Sugar Glider,Indian Python,
Angora,Alaskan huskie,Cockatiel,Am. Saddlebred,,,,,,,,Raccoon,,Red-ruffled Lemur,English Lop,Green Iguana,,,Unknown Small Mammal,King Snake,
Balinese,Alaskan Malamute,Cockatoo,American Quarter Horse,,,,,,,,River Otter,,Rhesus,English Spot,Leopard Gecko,,,,Red Tailed Boa,
Bengal,Alsatian,Conure,Andalusian,,,,,,,,Sea Lion,,Swamp Monkey,Flemish Giant,Leopard Tortoise,,,,Reticulated Python,
Birman,Am. Staffordshire Terr,Duck,Appaloosa,,,,,,,,Skunk,,Unknown Primate,French Lop,Monitor Lizard,,,,Snake,
Bobcat,American Alaskan Spitz,Eagle,Arab,,,,,,,,Unknown Other,,,Fuzzy Lop,Pig-nose Turtle,,,,Unknown Snake,
Bombay,American bulldog,Falcon,Arabian,,,,,,,,,,,Havana,Red-foot Tortoise,,,,,
British Shorthair,American Eskimo,Finch,Ardennais,,,,,,,,,,,Holland Lop,Reptile,,,,,
Bullseye,American Eskimo-miniature,Goose,Argentine Criollo,,,,,,,,,,,Hotot,Russian Tortoise,,,,,
Burmese,American Foxhound,Hawk,Australian Stock,,,,,,,,,,,Jersey Wooly,Sea Turtle,,,,,
Calico,American Indian,Lovebird,Azteca,,,,,,,,,,,Lop,Tegus Lizard,,,,,
California spangled,American pit bull,Macaw,Belgian Draft,,,,,,,,,,,Mini Lop,Tortoise,,,,,
Cerval,American pibull Terrier,Moluccan Cockatoo,Boulonnais,,,,,,,,,,,Mini Rex,Turtle,,,,,
Chartreux,American royal retriever,Other type,Breton,,,,,,,,,,,Netherland Dwarf,Unknown Reptile,,,,,
Cheetah,American staffordshire terrier,Owl,Brumby,,,,,,,,,,,New Zealand,Uromastyx Lizard,,,,,
chincilla persian,American staghound,Parakeet,Camargue,,,,,,,,,,,Rex Rabbit,Water Dragon,,,,,
Colorpoint shorthair,American tendra shepherd,Parrot,Canadian,,,,,,,,,,,Unknown Rabbit,,,,,,
cornish Rex,American Water Spaniel,Peregrin Falcon,Cape,,,,,,,,,,,,,,,,,
Devon Rex,Anatolian Shepherd,Pionus Parrots,Chincoteague,,,,,,,,,,,,,,,,,
DLH,Argentine dogo,Scarlet Macaw,Cleveland Bay,,,,,,,,,,,,,,,,,
DMH,Australian Cattle Dog,Swan,Clydesdale,,,,,,,,,,,,,,,,,
Domestic Longhair,Australian dingo,Unknown bird,Colorado Ranger,,,,,,,,,,,,,,,,,
Domestic medium hair,Australian kelpie,,Connemara Pony,,,,,,,,,,,,,,,,,
Domestic shorthair,Australian shepherd,,Costa Rican Saddle,,,,,,,,,,,,,,,,,
DSH,Australian shepherd-miniature,,Dales Pony,,,,,,,,,,,,,,,,,
Egyptian mau,Australian Terrier,,Dartmoor Pony,,,,,,,,,,,,,,,,,
Exotic,Azawakh,,Don,,,,,,,,,,,,,,,,,
Exotic Longhair,Barbet,,Donkey,,,,,,,,,,,,,,,,,
Exotic Shorthair,Basenji,,Dutch Warmblood,,,,,,,,,,,,,,,,,
Havana Brown,Basset Hound,,Exmoor Pony,,,,,,,,,,,,,,,,,
Himilayan,Beagle,,Falabella,,,,,,,,,,,,,,,,,
Japanese Bobtail,Bearded Collie,,Fell Pony,,,,,,,,,,,,,,,,,
Javanese,Beauceron,,Finnish,,,,,,,,,,,,,,,,,
Korat,Bedlington Terrier,,Florida Cracker,,,,,,,,,,,,,,,,,
Leopard,Belgian laekenois,,Friesian,,,,,,,,,,,,,,,,,
Lion,Belgian Malinois,,Galiceno,,,,,,,,,,,,,,,,,
Lynx,Belgian Sheepdog,,Gelderland,,,,,,,,,,,,,,,,,
Main Coon,Belgian Shepherd,,Gotland,,,,,,,,,,,,,,,,,
Manx,Belgian Tervuren,,Hackney,,,,,,,,,,,,,,,,,
Manx longhair,Berger Allemand,,Hackney Pony,,,,,,,,,,,,,,,,,
Misc -Cat Breed,Berger des Pyrenees,,Haflinger,,,,,,,,,,,,,,,,,
Mix,Bernese mountain dog,,Hanoverian,,,,,,,,,,,,,,,,,
Mixed,Bichon Frise,,Highland Pony,,,,,,,,,,,,,,,,,
Munchkin,Black Lab,,Holsteiner,,,,,,,,,,,,,,,,,
Norwegian Forest Cat,Black mouth cur,,Hungarian,,,,,,,,,,,,,,,,,
Not Known,Black russian terrier,,Icelandic,,,,,,,,,,,,,,,,,
Ocicat,Bloodhound,,Irish Draught,,,,,,,,,,,,,,,,,
Oriental,Blue Heeler,,Kiger Mustang,,,,,,,,,,,,,,,,,
Oriental shorthair,Blue Tick Beagle,,Kladruber,,,,,,,,,,,,,,,,,
Other Breed,Bluetick Hound,,Lipizzan,,,,,,,,,,,,,,,,,
Persian,Boerbel,,Lusitano,,,,,,,,,,,,,,,,,
Persian-himalayan,Blognese,,Miniature,,,,,,,,,,,,,,,,,
